site,lat,lat,long,long,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-1280,850,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-40,750,40,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Petit Saut 172,4.683466,4.683466,-52.950117,-52.950117,OBDY-1221,600,50,No,French Guiana,3-French Guiana,Koriabo-Arauquinoid,1 - Koriabo,Settlement,Vacher et al 1998
Pointe Balate,5.482238,5.482238,-54.044541,-54.044541,POZ-46912,920,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Balate,5.482238,5.482238,-54.044541,-54.044541,KIA-36137,835,35,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Balate,5.482238,5.482238,-54.044541,-54.044541,KIA-36136,795,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Balate,5.482238,5.482238,-54.044541,-54.044541,KIA-36134.2,325,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Crique Sparouine,5.251817,5.251817,-54.253849,-54.253849,KIA-32396,750,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2007
Crique Sparouine,5.251817,5.251817,-54.253849,-54.253849,KIA-32394,585,20,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2007
Chemin St Louis,5.472875,5.472875,-54.047029,-54.047029,Poz-30945,885,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2012
Chemin St Louis,5.472875,5.472875,-54.047029,-54.047029,Poz-36925,730,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2012
Tania,5.273265,5.273265,-52.891938,-52.891938,KIA-26021,673,24,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2015
Tania,5.273265,5.273265,-52.891938,-52.891938,KIA-26022,408,20,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2015
Saut Saillat,5.311628,5.311628,-54.14825,-54.14825,KIA-31240,426,19,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Saillat,5.311628,5.311628,-54.14825,-54.14825,KIA-31242,390,19,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Saillat,5.311628,5.311628,-54.14825,-54.14825,KIA-31239,361,24,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Mapaou-Mapaou,4.183454,4.183454,-52.300109,-52.300109,GIF-6956,410,60,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Rostain 1994
Saut Mapaou-Mapaou,4.183454,4.183454,-52.300109,-52.300109,OBDY-728,240,50,Yes,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Rostain 1995
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4039,520,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4026,500,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4031,470,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4030,460,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4032,450,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4035,410,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,3.860545,3.860545,-51.832916,-51.832916,UGAMS-4040,390,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
MMX 01,0.818685,0.818685,-51.874465,-51.874465,Beta 255793,1260,40,Yes,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Saldanha and Cabral 2010
Barragem do Taboca,0.80026,0.80026,-51.866679,-51.866679,Beta 255012,810,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Nunes Filho 2010
