site,lab,age,std,Exclude,country_state,region,original_affiliation,culture,context,source
Tania,KIA-26021,673,24,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2015
Tania,KIA-26022,408,20,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel 2015
Saut Saillat,KIA-31240,426,19,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Saillat,KIA-31242,390,19,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Saillat,KIA-31239,361,24,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Hildebrand 2008
Saut Mapaou-Mapaou,GIF-6956,410,60,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Rostain 1994
Saut Mapaou-Mapaou,OBDY-728,240,50,Yes,French Guiana,3-French Guiana,Koriabo,2 - Koriabo,Settlement,Rostain 1995
Pointe Morne,UGAMS-4039,520,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4026,500,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4031,470,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4030,460,30,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4032,450,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4035,410,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
Pointe Morne,UGAMS-4040,390,25,No,French Guiana,3-French Guiana,Koriabo,1 - Koriabo,Settlement,Van den Bel et al 2020
MMX 01,Beta 255793,1260,40,Yes,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Saldanha and Cabral 2010
Barragem do Taboca,Beta 255012,810,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Nunes Filho 2010
Prainha de Pedra,Poz-162170,495,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Paredão Leste,Poz-162174,455,30,No,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,This paper
Laranjal do Jari 1,Beta 409496,1180,30,Yes,Amapá,4-Amapa-Estuary,Koriabo,1 - Koriabo,Settlement,Barreto 2015
